Concentration,Time_min,Fit_Value,Vmax,Km
0.625 ug/mL,7.989949748743718,11184.799999999997,11015.0,0.1125
0.625 ug/mL,8.140703517587939,11184.799999999997,11015.0,0.1125
0.625 ug/mL,8.29145728643216,11184.799999999997,11015.0,0.1125
0.625 ug/mL,8.442211055276381,11184.8,11015.0,0.1125
0.625 ug/mL,8.592964824120603,11184.8,11015.0,0.1125
0.625 ug/mL,8.743718592964823,11184.8,11015.0,0.1125
0.625 ug/mL,8.894472361809044,11184.8,11015.0,0.1125
0.625 ug/mL,9.045226130653266,11184.8,11015.0,0.1125
0.625 ug/mL,9.195979899497488,11184.8,11015.0,0.1125
0.625 ug/mL,9.346733668341708,11184.8,11015.0,0.1125
0.625 ug/mL,9.497487437185928,11184.8,11015.0,0.1125
0.625 ug/mL,9.64824120603015,11184.8,11015.0,0.1125
0.625 ug/mL,9.798994974874372,11184.8,11015.0,0.1125
0.625 ug/mL,9.949748743718592,11184.8,11015.0,0.1125
0.625 ug/mL,10.100502512562812,11184.8,11015.0,0.1125
0.625 ug/mL,10.251256281407034,11184.8,11015.0,0.1125
0.625 ug/mL,10.402010050251256,11184.8,11015.0,0.1125
0.625 ug/mL,10.552763819095476,11184.8,11015.0,0.1125
0.625 ug/mL,10.703517587939697,11184.8,11015.0,0.1125
0.625 ug/mL,10.854271356783919,11184.8,11015.0,0.1125
0.625 ug/mL,11.00502512562814,11184.8,11015.0,0.1125
0.625 ug/mL,11.15577889447236,11184.8,11015.0,0.1125
0.625 ug/mL,11.306532663316581,11184.8,11015.0,0.1125
0.625 ug/mL,11.457286432160803,11184.8,11015.0,0.1125
0.625 ug/mL,11.608040201005025,11184.8,11015.0,0.1125
0.625 ug/mL,11.758793969849245,11184.8,11015.0,0.1125
0.625 ug/mL,11.909547738693465,11184.8,11015.0,0.1125
0.625 ug/mL,12.060301507537687,11184.8,11015.0,0.1125
0.625 ug/mL,12.21105527638191,11184.8,11015.0,0.1125
0.625 ug/mL,12.36180904522613,11184.8,11015.0,0.1125
0.625 ug/mL,12.51256281407035,11184.8,11015.0,0.1125
0.625 ug/mL,12.663316582914572,11184.8,11015.0,0.1125
0.625 ug/mL,12.814070351758794,11184.8,11015.0,0.1125
0.625 ug/mL,12.964824120603014,11184.8,11015.0,0.1125
0.625 ug/mL,13.115577889447234,11184.8,11015.0,0.1125
0.625 ug/mL,13.266331658291456,11184.8,11015.0,0.1125
0.625 ug/mL,13.417085427135678,11184.8,11015.0,0.1125
0.625 ug/mL,13.567839195979898,11184.8,11015.0,0.1125
0.625 ug/mL,13.718592964824118,11184.8,11015.0,0.1125
0.625 ug/mL,13.86934673366834,11184.8,11015.0,0.1125
0.625 ug/mL,14.020100502512562,11184.8,11015.0,0.1125
0.625 ug/mL,14.170854271356783,11184.8,11015.0,0.1125
0.625 ug/mL,14.321608040201003,11184.8,11015.0,0.1125
0.625 ug/mL,14.472361809045225,11184.8,11015.0,0.1125
0.625 ug/mL,14.623115577889447,11184.8,11015.0,0.1125
0.625 ug/mL,14.773869346733667,11184.8,11015.0,0.1125
0.625 ug/mL,14.924623115577887,11184.8,11015.0,0.1125
0.625 ug/mL,15.07537688442211,11184.8,11015.0,0.1125
0.625 ug/mL,15.226130653266331,11184.8,11015.0,0.1125
0.625 ug/mL,15.376884422110551,11184.8,11015.0,0.1125
0.625 ug/mL,15.527638190954772,11184.8,11015.0,0.1125
0.625 ug/mL,15.678391959798994,11184.8,11015.0,0.1125
0.625 ug/mL,15.829145728643216,11184.8,11015.0,0.1125
0.625 ug/mL,15.979899497487436,11184.8,11015.0,0.1125
0.625 ug/mL,16.130653266331656,11184.8,11015.0,0.1125
0.625 ug/mL,16.281407035175878,11184.8,11015.0,0.1125
0.625 ug/mL,16.4321608040201,11184.8,11015.0,0.1125
0.625 ug/mL,16.58291457286432,11184.8,11015.0,0.1125
0.625 ug/mL,16.73366834170854,11184.8,11015.0,0.1125
0.625 ug/mL,16.884422110552762,11184.8,11015.0,0.1125
0.625 ug/mL,17.035175879396984,11184.8,11015.0,0.1125
0.625 ug/mL,17.185929648241206,11184.8,11015.0,0.1125
0.625 ug/mL,17.336683417085425,11184.8,11015.0,0.1125
0.625 ug/mL,17.487437185929647,11184.8,11015.0,0.1125
0.625 ug/mL,17.63819095477387,11184.8,11015.0,0.1125
0.625 ug/mL,17.788944723618087,11184.8,11015.0,0.1125
0.625 ug/mL,17.93969849246231,11184.8,11015.0,0.1125
0.625 ug/mL,18.09045226130653,11184.8,11015.0,0.1125
